Date,Time,Open,High,Low,Close
2021-05-21,14:30:00,1.41741,1.41748,1.41545,1.41618
2021-05-21,14:45:00,1.41614,1.41692,1.41561,1.4162
2021-05-21,15:00:00,1.41621,1.41692,1.41574,1.41689
2021-05-21,15:15:00,1.41689,1.41736,1.4165,1.41663
2021-05-21,15:30:00,1.41664,1.41723,1.41658,1.41663
2021-05-21,15:45:00,1.41662,1.41662,1.41547,1.41558
2021-05-21,16:00:00,1.41557,1.41577,1.41499,1.4151
2021-05-21,16:15:00,1.41508,1.41571,1.415,1.41564
2021-05-21,16:30:00,1.41564,1.41565,1.41515,1.41553
2021-05-21,16:45:00,1.41554,1.41561,1.41401,1.41451
2021-05-21,17:00:00,1.41452,1.41511,1.41443,1.41488
2021-05-21,17:15:00,1.41489,1.41537,1.41481,1.41531
2021-05-21,17:30:00,1.41533,1.41533,1.41489,1.41492
2021-05-21,17:45:00,1.41495,1.41514,1.41481,1.41503
2021-05-21,18:00:00,1.41505,1.41522,1.41471,1.41517
2021-05-21,18:15:00,1.41518,1.4153,1.415,1.41523
2021-05-21,18:30:00,1.41522,1.41541,1.415,1.41516
2021-05-21,18:45:00,1.41518,1.41577,1.41518,1.4155
2021-05-21,19:00:00,1.41550,1.41582,1.41503,1.4157
2021-05-21,19:15:00,1.41571,1.416,1.41563,1.41569
2021-05-21,19:30:00,1.41569,1.41576,1.41536,1.41544
2021-05-21,19:45:00,1.41545,1.41593,1.41531,1.41538
2021-05-21,20:00:00,1.41538,1.41572,1.41534,1.41538
2021-05-21,20:15:00,1.41538,1.41541,1.41511,1.4153
2021-05-21,20:30:00,1.41530,1.4153,1.41484,1.41503
2021-05-21,20:45:00,1.41501,1.41525,1.41403,1.41409
2021-05-23,21:00:00,1.41468,1.41565,1.41451,1.41558
2021-05-23,21:15:00,1.41556,1.41565,1.41494,1.41504
2021-05-23,21:30:00,1.41506,1.41508,1.41479,1.41482
2021-05-23,21:45:00,1.41483,1.4157,1.41431,1.41499
2021-05-23,22:00:00,1.41500,1.41555,1.41433,1.41435
2021-05-23,22:15:00,1.41437,1.41438,1.41386,1.4142
2021-05-23,22:30:00,1.41424,1.41435,1.41399,1.41431
2021-05-23,22:45:00,1.41432,1.41451,1.41408,1.41415
2021-05-23,23:00:00,1.41417,1.41469,1.41415,1.41439
2021-05-23,23:15:00,1.41441,1.41456,1.41424,1.41437
2021-05-23,23:30:00,1.41433,1.41448,1.41409,1.41433
2021-05-23,23:45:00,1.41431,1.41431,1.41398,1.41398
2021-05-24,00:00:00,1.41397,1.41507,1.4137,1.41501
2021-05-24,00:15:00,1.41505,1.4152,1.4147,1.41485
2021-05-24,00:30:00,1.41481,1.41484,1.41439,1.41445
2021-05-24,00:45:00,1.41448,1.4147,1.4141,1.4141
2021-05-24,01:00:00,1.41412,1.41475,1.41412,1.4143
2021-05-24,01:15:00,1.41431,1.4145,1.4136,1.41378
2021-05-24,01:30:00,1.41380,1.41417,1.41369,1.41415
2021-05-24,01:45:00,1.41413,1.41442,1.41397,1.41422
2021-05-24,02:00:00,1.41423,1.41443,1.41384,1.41394
2021-05-24,02:15:00,1.41394,1.41413,1.4137,1.41406
2021-05-24,02:30:00,1.41407,1.41446,1.414,1.41432
2021-05-24,02:45:00,1.41432,1.4145,1.41412,1.41442
2021-05-24,03:00:00,1.41443,1.4146,1.41413,1.41451
2021-05-24,03:15:00,1.41448,1.41463,1.41431,1.41441
2021-05-24,03:30:00,1.41443,1.41472,1.41441,1.41453
2021-05-24,03:45:00,1.41453,1.41462,1.41436,1.41452
2021-05-24,04:00:00,1.41453,1.41501,1.41443,1.41492
